label,url,filepath,width,height
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSn1pM7WSC_4gPJ2ur2HhrnOcCrn77qM7Iuj57uK5lJHfjEiD7H6ZwDBU6&s,image_dataset\Dog\Dog_1.jpg,71,46
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6gE7ynq6hthbxXf6-v2hPvyekyeavAiDnNavhLRmsVbR9Hojz104-pexy&s,image_dataset\Dog\Dog_2.jpg,46,89
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKz8YJ1U2q33dYLo212RRArvQ53FNy93n-Rg&s,image_dataset\Dog\Dog_3.jpg,209,241
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-ou5W87ybgu6zpJxtOxFG5hqOK5ogRGsRAg&s,image_dataset\Dog\Dog_4.jpg,300,168
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLmTjWnzzs-lNdAWEY4pNgRcueO6c4hgpH7g&s,image_dataset\Dog\Dog_5.jpg,300,168
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqxfTVVwh1IkVw1bgnsZx4ftUAYtiDD4TicQ&s,image_dataset\Dog\Dog_6.jpg,360,140
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy74KE5Ye9iTsNVYSSVt_q9ODGa0AnoL1QRg&s,image_dataset\Dog\Dog_7.jpg,275,183
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUwkXCDnoKyiOnW6dQORpO2f6-FTp2YAS97g&s,image_dataset\Dog\Dog_8.jpg,300,168
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnWy78W-5g-tqwHO1CtVeaOK4jHjdHJ_rpwQ&s,image_dataset\Dog\Dog_9.jpg,259,194
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyd1FWRKwZkW3dOhc_DW32RuvGnffoZwgX8g&s,image_dataset\Dog\Dog_10.jpg,275,183
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdJngnleGOQHzOuOHuGUj6sqpuRbYefYQXQw&s,image_dataset\Dog\Dog_11.jpg,168,300
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg_3Wwx6_A2SnSbsC12Y421zKvuDaJTGXHrA&s,image_dataset\Dog\Dog_12.jpg,299,168
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzmj2253q2B6YjzrQ50ct_ALqsulXoVuztag&s,image_dataset\Dog\Dog_13.jpg,300,168
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeXtb6UZCjrvUOIJhP5uoMHI786JfBRUWI8g&s,image_dataset\Dog\Dog_14.jpg,247,204
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR15MxDggw1YPNLvBSLdaBbchxI0-Vg6fq8Uw&s,image_dataset\Dog\Dog_15.jpg,275,183
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz4i4DYghC-BjEf7C7qzeV4Bl5MCby_gCbCw&s,image_dataset\Dog\Dog_16.jpg,343,147
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFxUIohh2-7-Bpqqhcg-eedhKzdt8Qu8so_Q&s,image_dataset\Dog\Dog_17.jpg,225,225
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJqG7URb8b_s2A53DyUo5O7W4nGJJAGA-fUw&s,image_dataset\Dog\Dog_18.jpg,225,225
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaldzVyFfghri0tLK-4lcMUJKyOPn3ihm3ZQ&s,image_dataset\Dog\Dog_19.jpg,228,221
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTt89nu5HcX65UCAUlQG6ZRP6UDiqelNSnTJg&s,image_dataset\Dog\Dog_20.jpg,275,183
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSER-pd5O-l8AQf4LD2cyqpEPYFVcA4iFehA&s,image_dataset\Dog\Dog_21.jpg,194,259
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFuQELhXDfxkgV1Z_P9CjIleNFtFPaxco4eg&s,image_dataset\Dog\Dog_22.jpg,275,183
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7_7XoYhJaVcIc-0fQzvh450Pr_mx0XqS2hBJml5acVd8pTgs9pYoP&s=0,image_dataset\Dog\Dog_23.jpg,50,50
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVwejX1Y_PJ80b8RrRUeDTDWAivsOpH3FpiHhretmnGK0RsR89nJTc&s=0,image_dataset\Dog\Dog_24.jpg,50,50
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWZqi3GTGeRKBBMWlTZf_kcWaXV30GKsF-4caV2MUZ&s=0,image_dataset\Dog\Dog_25.jpg,50,50
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3PXcEscSQj_FN1vw0ijwpKmWy9rCPzJxWBw&s,image_dataset\Dog\Dog_26.jpg,194,259
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvmjJwD_m50827asX2wEee9fEfeM5BNe6TLw&s,image_dataset\Dog\Dog_27.jpg,275,183
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQMglsQRSDr-5ZWSlHJ-FFwnr_5L1OP9SjwQ&s,image_dataset\Dog\Dog_28.jpg,273,185
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTANgG48zF5TbumEN9S6M1o0PxCv5rf2eMBA&s,image_dataset\Dog\Dog_29.jpg,199,253
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUwYmebAoxi8eIAGh3XLWt9ps-KdpCxbENjQ&s,image_dataset\Dog\Dog_30.jpg,299,168
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEh1KcJSjiiHPBxg9y7FXZsA6Lynci32uDJw&s,image_dataset\Dog\Dog_31.jpg,276,183
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1ccpRlyT5AyfHmH3bzT9qcbEuyDPs76FS8g&s,image_dataset\Dog\Dog_32.jpg,274,184
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQxtrUf1DhDbgDuSfyhWszhuR-Q2UEFfpibg&s,image_dataset\Dog\Dog_33.jpg,225,225
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW9kENoBPO_LbamP0E_Jfa_FS_VdWklpuM-w&s,image_dataset\Dog\Dog_34.jpg,264,191
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-7TOInp_nBpD0xu-XTrXPoQeG9GFC11Z7QA&s,image_dataset\Dog\Dog_35.jpg,366,137
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8O6wpVND9cn-Lfns_x1Q6A2XbPtLHW748Qg&s,image_dataset\Dog\Dog_36.jpg,259,194
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNwOkqxaH0_M1HNz5CH9ns001VVqGmpYyKkA&s,image_dataset\Dog\Dog_37.jpg,360,140
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLRq5d3R1aQaeoBtQli7drfEA_2QsnohUE4A&s,image_dataset\Dog\Dog_38.jpg,402,125
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLLocgnULmdLfEo8h1z0LV3PsTfe8e32xDOA&s,image_dataset\Dog\Dog_39.jpg,197,255
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0_wSILFDStuTxY9n1LFgnZbWzQXhwCv-ckQ&s,image_dataset\Dog\Dog_40.jpg,225,225
Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5QzBsby70kovekExRE6utbb22IDSvQCQg7g&s,image_dataset\Dog\Dog_41.jpg,259,194
