city,timestamp,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco
Mumbai,2025-02-01 00:00:00,22.0,16.9,73.0,0.0,20.0,6.0,1010.0,5.0
Mumbai,2025-02-01 04:00:00,25.0,15.0,54.0,0.0,90.0,7.0,1014.0,5.0
Mumbai,2025-02-01 08:00:00,29.0,15.9,45.0,0.0,280.0,15.0,1011.0,2.0
Mumbai,2025-02-01 12:00:00,26.0,16.0,54.0,0.0,310.0,11.0,1010.0,1.0
Mumbai,2025-02-01 16:00:00,24.0,16.0,61.0,0.0,360.0,6.0,1013.0,5.0
Mumbai,2025-02-01 20:00:00,23.0,11.1,47.0,0.0,350.0,0.0,1012.0,1.0
Mumbai,2025-02-02 00:00:00,22.0,11.1,50.0,0.0,11.0,0.0,1010.0,1.0
Mumbai,2025-02-02 04:00:00,26.0,8.9,34.0,0.0,30.0,7.0,1014.0,1.0
Mumbai,2025-02-02 08:00:00,29.0,14.0,40.0,0.0,300.0,13.0,1011.0,1.0
Mumbai,2025-02-02 12:00:00,28.0,12.0,37.0,0.0,330.0,11.0,1010.0,1.0
Mumbai,2025-02-02 16:00:00,26.0,12.1,42.0,0.0,350.0,9.0,1012.0,1.0
Mumbai,2025-02-02 20:00:00,24.0,12.0,47.0,0.0,39.0,0.0,1011.0,1.0
Mumbai,2025-02-03 00:00:00,23.0,15.1,61.0,0.0,22.0,0.0,1010.0,1.0
Mumbai,2025-02-03 04:00:00,27.0,11.1,37.0,0.0,280.0,6.0,1014.0,1.0
Mumbai,2025-02-03 08:00:00,28.0,16.9,51.0,0.0,290.0,20.0,1011.0,1.0
Mumbai,2025-02-03 12:00:00,27.0,14.1,45.0,0.0,330.0,15.0,1011.0,1.0
Mumbai,2025-02-03 16:00:00,25.0,14.2,51.0,0.0,330.0,9.0,1014.0,1.0
Mumbai,2025-02-03 20:00:00,24.0,9.9,41.0,0.0,,0.0,1012.0,1.0
Mumbai,2025-02-04 00:00:00,22.0,12.0,53.0,0.0,94.0,0.0,1012.0,1.0
Mumbai,2025-02-04 04:00:00,25.0,18.0,65.0,0.0,310.0,11.0,1015.0,5.0
Mumbai,2025-02-04 08:00:00,29.0,19.0,55.0,0.0,250.0,17.0,1012.0,2.0
Mumbai,2025-02-04 12:00:00,27.0,16.0,51.0,0.0,330.0,17.0,1011.0,2.0
Mumbai,2025-02-04 16:00:00,25.0,12.9,47.0,0.0,10.0,9.0,1013.0,1.0
Mumbai,2025-02-04 20:00:00,24.0,7.2,34.0,0.0,20.0,7.0,1012.0,1.0
Mumbai,2025-02-05 00:00:00,22.0,8.1,41.0,0.0,350.0,7.0,1012.0,1.0
Mumbai,2025-02-05 04:00:00,25.0,8.1,34.0,0.0,340.0,7.0,1014.0,1.0
Mumbai,2025-02-05 08:00:00,31.0,9.3,26.0,0.0,300.0,15.0,1010.0,1.0
Mumbai,2025-02-05 12:00:00,27.0,14.1,45.0,0.0,290.0,15.0,1010.0,1.0
Mumbai,2025-02-05 16:00:00,25.0,12.9,47.0,0.0,360.0,6.0,1012.0,1.0
Mumbai,2025-02-05 20:00:00,23.0,12.9,53.0,0.0,356.0,1.8,1011.0,1.0
Mumbai,2025-02-06 00:00:00,23.0,12.9,53.0,0.0,15.0,0.0,1010.0,5.0
Mumbai,2025-02-06 04:00:00,27.0,11.1,37.0,0.0,30.0,7.0,1013.0,1.0
Mumbai,2025-02-06 08:00:00,31.0,15.8,40.0,0.0,220.0,13.0,1010.0,1.0
Mumbai,2025-02-06 12:00:00,29.0,15.2,43.0,0.0,300.0,11.0,1009.0,1.0
Mumbai,2025-02-06 16:00:00,26.0,17.9,61.0,0.0,17.0,0.0,1011.0,5.0
Mumbai,2025-02-06 20:00:00,26.0,17.9,61.0,0.0,35.0,0.0,1010.0,5.0
Mumbai,2025-02-07 00:00:00,26.0,15.1,51.0,0.0,90.0,9.0,1010.0,1.0
Mumbai,2025-02-07 04:00:00,29.0,15.2,43.0,0.0,40.0,7.0,1014.0,1.0
Mumbai,2025-02-07 08:00:00,33.0,18.0,41.0,0.0,270.0,15.0,1011.0,1.0
Mumbai,2025-02-07 12:00:00,30.0,17.1,46.0,0.0,310.0,9.0,1010.0,1.0
Mumbai,2025-02-07 16:00:00,28.0,13.9,42.0,0.0,90.0,6.0,1013.0,1.0
Mumbai,2025-02-07 20:00:00,26.0,17.1,58.0,0.0,120.0,6.0,1011.0,1.0
Mumbai,2025-02-08 00:00:00,25.0,17.0,61.0,0.0,165.0,0.0,1011.0,5.0
Mumbai,2025-02-08 04:00:00,29.0,15.2,43.0,0.0,110.0,7.0,1014.0,1.0
Mumbai,2025-02-08 08:00:00,33.0,17.2,39.0,0.0,270.0,15.0,1011.0,1.0
Mumbai,2025-02-08 12:00:00,30.0,16.1,43.0,0.0,290.0,15.0,1010.0,1.0
Mumbai,2025-02-08 16:00:00,28.0,15.0,45.0,0.0,8.0,0.0,1013.0,1.0
Mumbai,2025-02-08 20:00:00,26.0,16.0,54.0,0.0,,0.0,1011.0,1.0
Mumbai,2025-02-09 00:00:00,25.0,15.9,57.0,0.0,163.0,0.0,1010.0,1.0
Mumbai,2025-02-09 04:00:00,29.0,14.0,40.0,0.0,30.0,6.0,1013.0,1.0
Mumbai,2025-02-09 08:00:00,32.0,18.9,46.0,0.0,260.0,19.0,1010.0,1.0
Mumbai,2025-02-09 12:00:00,32.0,11.2,28.0,0.0,340.0,7.0,1009.0,1.0
Mumbai,2025-02-09 16:00:00,29.0,12.0,35.0,0.0,60.0,7.0,1012.0,1.0
Mumbai,2025-02-09 20:00:00,28.0,12.0,37.0,0.0,,0.0,1012.0,1.0
Mumbai,2025-02-10 00:00:00,26.0,11.0,39.0,0.0,360.0,7.0,1012.0,1.0
Mumbai,2025-02-10 04:00:00,29.0,11.1,33.0,0.0,140.0,7.0,1015.0,1.0
Mumbai,2025-02-10 08:00:00,34.0,11.2,25.0,0.0,280.0,22.0,1011.0,1.0
Mumbai,2025-02-10 12:00:00,29.0,16.9,48.0,0.0,330.0,11.0,1011.0,1.0
Mumbai,2025-02-10 16:00:00,28.0,12.0,37.0,0.0,360.0,15.0,1014.0,1.0
Mumbai,2025-02-10 20:00:00,25.0,15.0,54.0,0.0,10.0,6.0,1013.0,1.0
Mumbai,2025-02-11 00:00:00,24.0,11.0,44.0,0.0,10.0,7.0,1012.0,1.0
Mumbai,2025-02-11 04:00:00,28.0,10.2,33.0,0.0,30.0,6.0,1015.0,1.0
Mumbai,2025-02-11 08:00:00,31.0,14.2,36.0,0.0,280.0,17.0,1013.0,1.0
Mumbai,2025-02-11 12:00:00,27.0,14.1,45.0,0.0,300.0,20.0,1012.0,1.0
Mumbai,2025-02-11 16:00:00,26.0,15.1,51.0,0.0,350.0,7.0,1014.0,1.0
Mumbai,2025-02-11 20:00:00,23.0,12.0,50.0,0.0,350.0,7.0,1013.0,1.0
Mumbai,2025-02-12 00:00:00,23.0,10.1,44.0,0.0,3.0,0.0,1013.0,1.0
Mumbai,2025-02-12 04:00:00,26.0,8.9,34.0,0.0,356.0,1.8,1016.0,1.0
Mumbai,2025-02-12 08:00:00,32.0,15.1,36.0,0.0,300.0,15.0,1013.0,1.0
Mumbai,2025-02-12 12:00:00,29.0,15.9,45.0,0.0,300.0,15.0,1011.0,1.0
